glyph name;code points
A;U+0041
B;U+0042
C;U+0043
D;U+0044
E;U+0045
F;U+0046
G;U+0047
H;U+0048
I;U+0049
J;U+004A
K;U+004B
L;U+004C
M;U+004D
N;U+004E
O;U+004F
P;U+0050
Q;U+0051
R;U+0052
S;U+0053
S.alt;
T;U+0054
U;U+0055
V;U+0056
W;U+0057
X;U+0058
Y;U+0059
Z;U+005A
a;U+0061
b;U+0062
c;U+0063
ctom;
ctom.alt;
ctom.alt2;
ctom.half;
ctom.half2;
d;U+0064
dotom;
e;U+0065
etom;
etom.alt;
etom.alt2;
etom.half;
exclam;U+0021
f;U+0066
g;U+0067
h;U+0068
i;U+0069
itom;
itom.alt;
itom.half;
j;U+006A
jatom.half;
jtom;
jtom.alt;
jtom.half;
jtom.half2;
k;U+006B
ktom;
ktom.alt;
ktom.half;
l;U+006C
m;U+006D
n;U+006E
o;U+006F
p;U+0070
p.alt;
q;U+0071
r;U+0072
s;U+0073
t;U+0074
u;U+0075
v;U+0076
vtom;
vtom.alt;
w;U+0077
x;U+0078
y;U+0079
z;U+007A
