glyph name;code points
A;U+0041
A.alt.2;
A.alt.6;
A.alt1;
A.alt2;
A.alt4;
B;U+0042
B.alt1;
B.alt3;
B.alt4;
C;U+0043
C.alt;
D;U+0044
D.alt3;
E;U+0045
F;U+0046
G;U+0047
G.alt2;
H;U+0048
I;U+0049
J;U+004A
K;U+004B
Ktom.alt2;
L;U+004C
M;U+004D
M.alt3;
N;U+004E
O;U+004F
O.alt1;
P;U+0050
Q;U+0051
R;U+0052
R.alt2;
S;U+0053
S.alt;
S.alt.2;
S.alt3;
T;U+0054
T.alt3;
U;U+0055
V;U+0056
V.alt;
V.alt2;
W;U+0057
W.alt2;
W.alt3;
X;U+0058
Y;U+0059
Z;U+005A
a;U+0061
a.alt;
a.alt1;
b;U+0062
c;U+0063
ctom;
ctom.alt1;
ctom.alt2;
ctom.alt3;
ctom.alt4;
ctom.half;
d;U+0064
dotom;
dotom.alt1;
dotom.alt2;
dotom.alt3;
dotom.alt4;
dtom.alt2;
e;U+0065
etom;
etom.alt1;
etom.alt2;
etom.alt3;
etom.alt4;
etom.alt4.2;
f;U+0066
g;U+0067
h;U+0068
i;U+0069
i.alt1;
itom;
itom.alt1;
itom.alt2;
itom.alt3;
itom.alt4;
itom.alt42;
j;U+006A
jktom.alt3;
jtom;
jtom.alt;
jtom.alt1;
jtom.alt2;
jtom.alt3;
jtom.alt4;
k;U+006B
ktom;
ktom.alt;
ktom.alt1;
ktom.alt2;
ktom.alt3;
ktom.half;
l;U+006C
m;U+006D
n;U+006E
o;U+006F
p;U+0070
q;U+0071
quoteright;U+2019
r;U+0072
s;U+0073
t;U+0074
two;U+0032
u;U+0075
v;U+0076
v.alt1;
vtom;
vtom.alt;
vtom.alt1;
vtom.alt2;
vtom.alt3;
vtom.alt4;
vtom.alt4specchiato;
w;U+0077
x;U+0078
y;U+0079
z;U+007A
zero;U+0030
zero.alt3;
