glyph name;code points
A;U+0041
B;U+0042
C;U+0043
D;U+0044
E;U+0045
F;U+0046
G;U+0047
H;U+0048
I;U+0049
J;U+004A
K;U+004B
L;U+004C
M;U+004D
N;U+004E
N.alt;
O;U+004F
P;U+0050
Q;U+0051
R;U+0052
S;U+0053
S.alt;
T;U+0054
U;U+0055
V;U+0056
W;U+0057
X;U+0058
Y;U+0059
Z;U+005A
a;U+0061
b;U+0062
c;U+0063
ctom;
ctom.alt;
ctom.half;
ctom.rev;
d;U+0064
dollar;U+0024
dotom;
e;U+0065
egrave;U+00E8
etom;
etom.alt;
exclam;U+0021
f;U+0066
g;U+0067
g.alt;
h;U+0068
h.alt;
i;U+0069
itom;
itom.alt;
itomalt;
j;U+006A
jtom;
jtom.alt;
k;U+006B
k.alt;
ktom;
ktom.alt;
ktom.half;
l;U+006C
l.alt;
m;U+006D
n;U+006E
o;U+006F
o.alt;
p;U+0070
q;U+0071
r;U+0072
r.alt;
rtom;
rtom.alt;
s;U+0073
s.alt;
six;U+0036
space;U+0020
t;U+0074
u;U+0075
v;U+0076
vtom;
vtom.alt;
w;U+0077
x;U+0078
x.alt;
xtom;
y;U+0079
z;U+007A
